"datetime","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","sub_metering_4"
"2/15/2007","1985.346","165.964","346563.68","8381.2","0","2363","14028","16698.1000276"
"2/16/2007","1702.528","151.686","346782.16","7266.9999999999","1148","859","8689","17679.4667226"
"2/17/2007","2076.912","238.968","344615.09","8826","1765","2226","7157","23467.1999938"
"2/18/2007","3829.762","255.522","344405.96","16184","6107","8003","13129","36590.3666824"
"2/19/2007","2186.614","176.584","345297","9276.8","1634","2900","13085","18824.5667126"
"2/20/2007","3149.928","187.158","345406.24","13202.6","2058","5191","9713","35536.8000263"
"2/21/2007","2072.874","189.87","346263.79","8747.2","3527","2332","11548","17140.8999931"
"2/22/2007","3374.356","138.46","343628.62","14214.2","1411","4132","12287","38409.2666192"
"2/23/2007","1313.48","149.344","346587.79","5508.5999999999","0","503","10786","10602.3333405"
"2/24/2007","714.922","122.202","345402.87","3003.6","0","363","3562","7990.3667023"
"2/25/2007","501.74","113.736","348021.43","2105.6","0","329","1660","6373.3333654"
"2/26/2007","568.484","108.28","347433.97","2388.8","0","331","2830","6313.7333472"
"2/27/2007","518.112","113.204","349839.75","2195.4","0","314","1924","6397.2000133"
"2/28/2007","520.774","113.372","348709.81","2201","0","340","1973","6366.5666832"
"3/1/2007","517.564","107.628","347502.82","2172.8","0","316","1980","6330.0666829"
"3/2/2007","515.688","107.008","346451.9","2169.8","0","340","1969","6285.8000016"
"3/3/2007","819.122","134.992","347454.84","3457.6","0","347","4597","8708.0333376"
"3/4/2007","2090.7","175.682","345642.91","8867.8","1476","8711","9408","15249.9999962"
"3/5/2007","2660.332","205.956","345644.51","11290","5727","12109","10026","16476.8666521"
"3/6/2007","1246.5","186.148","347022.82","5321.8","0","1740","4700","14335.0000087"
"3/7/2007","2375.206","171.2","346065.93","9986.4","1076","4761","15513","18236.7666856"
"3/8/2007","1572.132","187.404","346558.21","6717.8","2180","3385","6655","13982.2000121"
"3/9/2007","1272.612","119.238","346879.39","5373","1093","345","8631","11141.1999992"
"3/10/2007","2484.712","243.528","345316.08","10572.4","4130","5422","10979","20880.8666573"
"3/11/2007","3480.636","173.374","345610.5","14575","4810","3420","9500","40280.6000373"
"3/12/2007","1950.668","134.422","346404.55","8249","1403","2841","12353","15914.1333691"
"3/13/2007","1290.144","126.718","346893.07","5480.2","1350","3859","5323","10970.4000181"
"3/14/2007","1793.364","157.522","346719.3","7585.2","3485","480","8607","17317.4000037"
"3/15/2007","1884.814","159.326","346003.91","7953.4","0","3263","11036","17114.5666471"
"3/16/2007","1702.054","130.208","344919.07","7189","1106","4604","5370","17287.5666883"
"3/17/2007","2028.09","127.068","343043.5","8562.4","2208","359","12275","18959.5000559"
"3/18/2007","2371.046","241.45","347108.86","10091.4","6564","7369","5856","19728.4333323"
"3/19/2007","2152.518","144.764","346315.81","9046","1648","2686","14118","17423.3000018"
"3/20/2007","2086.228","164.87","346774.52","8857.8","3745","2837","11255","16933.4667156"
"3/21/2007","2142.092","142.83","347020.77","8981.6","1865","4133","12335","17368.5333157"
"3/22/2007","1454.978","113.826","348139.48","6081.2","353","736","10462","12698.6333514"
"3/23/2007","1309.008","119.488","347969.49","5477.4","1127","777","8369","11543.7999759"
"3/24/2007","2968.43","191.024","345174.44","12532.8","3707","5797","16382","23587.8332956"
"3/25/2007","3338.404","236.124","345644.24","14000","4630","3600","9375","38035.0666648"
"3/26/2007","1416.082","160.966","347525.01","6023.6","1088","344","9096","13073.3666561"
"3/27/2007","1105.14","151.726","346466.85","4747","0","3019","3697","11703.0000266"
"3/28/2007","2333.898","196.518","346240.24","9870.6","1122","8527","13888","15361.3000678"
"3/29/2007","1590.406","198.696","346372.83","6734.6","1162","460","10724","14160.7666574"
"3/30/2007","1402.394","181.128","347096.49","6033","1094","468","8217","13594.2332588"
"3/31/2007","3509.51","231.504","344535.51","14781.2","2620","7707","17682","30482.833339"
"4/1/2007","2785.952","202.552","345635.26","11735.2","4629","5401","19509","16893.53333475"
"4/2/2007","1960.778","174.336","346262.57","8226.2","1755","970","16641","13313.6333598"
"4/3/2007","1642.82","168.76","346327.14","6978.6","3630","1042","7637","15071.3333527"
"4/4/2007","2051.868","172.318","346077.77","8620.2","3434","420","14748","15595.7999757"
"4/5/2007","1844.078","244.538","347289.27","7907.8","1086","4277","10523","14848.633342"
"4/6/2007","1601.14","143.214","347305.61","6751.6","0","5466","9166","12053.6666942"
"4/7/2007","1553.924","138.73","346145.17","6573","1127","3111","5923","15737.7333509"
"4/8/2007","1608.816","135.882","346102.82","6796.6","0","485","3545","22783.6000185"
"4/9/2007","1000.92","160.11","346392.7","4283.4","2667","514","3801","9700.0000265"
"4/10/2007","777.364","148.94","346771.73","3380.2","209","742","2572","9433.0666871"
"4/11/2007","887.482","192.446","347262.95","3771","0","1112","6421","7258.366658"
"4/12/2007","537.706","147.812","345968.73","2301","0","541","1818","6602.7666877"
"4/13/2007","551.022","151.64","345672.7","2366.4","0","558","1988","6637.700028"
"4/14/2007","554.268","155.61","346050.93","2378","0","578","2008","6651.8000271"
"4/15/2007","726.164","171.544","345940.83","3148.6","0","1026","2893","8183.7333643"
"4/16/2007","952.39","186.074","346546.28","4136.4","952","1305","4656","8960.1666507"
"4/17/2007","1223.734","218.354","345881.76","5314.8","1532","389","6199","12275.5666373"
"4/18/2007","998.246","165.224","345811.36","4313.4","1579","355","3430","11273.43333499"
"4/19/2007","1028.658","149.66","346218.97","4400.4","733","1605","5748","9058.29999906"
"4/20/2007","822.58","145.646","345791.37","3592.6","1069","360","3499","8781.6666808"
"4/21/2007","1673.656","212.658","344467.06","7251.4","6575","463","11129","9727.26665578"
"4/22/2007","2233.714","267.194","345036.79","9631.4","4264","2287","11102","19575.5667604"
"4/23/2007","1054.566","135.64","341619.33","4700.4","1402","506","6005","9663.10000302"
"4/24/2007","1032.1","135.264","338896.69","4528.6","1125","527","6680","8869.66669864"
"4/25/2007","1264.162","164.736","338315.2","5555.6","0","1469","8812","10788.3666657"
"4/26/2007","1275.466","163.606","338093.71","5650.2","1324","1845","7163","10925.76666541"
"4/27/2007","1094.332","161.928","338711.28","4770","1772","545","4756","11165.866667"
"4/28/2007","1113.694","163.744","338660.24","4850.4","1772","563","4756","11470.5666682"
"4/29/2007","1113.694","163.744","338660.24","4850.4","1772","563","4756","11470.5666682"
"4/30/2007","814.78","160.96","338452.48","3613.4","1214","853","3299","8213.6666678"
"5/1/2007","1663.858","181.608","337937.33","7305.6","4005","995","8546","14184.9666822"
"5/2/2007","1003.486","160.092","339238.19","4523.8","7","1490","3754","11473.76665321"
"5/3/2007","1090.238","150.942","338594.24","4763","1906","1725","7836","6703.6333577"
"5/4/2007","998.128","174.74","339422.68","4432.4","2259","538","3990","9848.46665448"
"5/5/2007","1563.052","174.102","338450.43","6820","2913","2493","11303","9341.866659"
"5/6/2007","2102.104","182.336","337549.9","9229","3215","949","10095","20776.06666319"
"5/7/2007","1643.664","168.918","337733.24","7172.6","946","4935","9433","12080.4000218"
"5/8/2007","1789.292","181.612","338264.98","7713.2","4581","2011","8777","14452.53337655"
"5/9/2007","1665.736","183.484","338218.16","7280.8","3018","5631","9474","9639.2666535"
"5/10/2007","707.884","168.314","339546.61","3177.8","946","534","3261","7057.0666877"
"5/11/2007","979.154","132.096","338730.85","4359.8","926","491","6471","8431.23333524"
"5/12/2007","1441.566","209.172","338000.98","6279.2","2247","1075","10408","10296.0999722"
"5/13/2007","1634.738","220.67","339420.54","7155.6","3612","2414","8958","12261.6333204"
"5/14/2007","1467.782","298.552","339393.7","6586.8","3176","2417","5517","13353.0333498"
"5/15/2007","904.392","111.182","339281.27","3935.9999999999","0","408","5318","9347.1999923"
"5/16/2007","1692.944","135.894","338775.57","7303.4","2213","5756","9077","11169.7332985"
"5/17/2007","1231.816","131.188","339650.58","5358.2","1014","2073","7687","9756.266692"
"5/18/2007","1631.53","171.258","339832.22","7022.4","3270","3913","8116","11893.1666652"
"5/19/2007","1429.442","167.858","338320.4","6219.8","4683","530","7022","11589.0333527"
"5/20/2007","1968.328","187.532","338901.29","8555.8","5420","1733","7611","18041.4666962"
"5/21/2007","1120.062","117.28","337956.35","4807.6","0","468","9060","9139.7000294"
"5/22/2007","1132.852","128.916","339092.03","4895.8","931","3966","3984","9999.8666513"
"5/23/2007","1464.936","165.878","338129.99","6332.4","956","3792","8119","11548.6000008"
"5/24/2007","1154.388","135.56","339186.33","4985.4","955","4116","4746","9422.8000674"
"5/25/2007","1614.22","174.588","337603.97","7003.4","8060","586","6539","11718.666634"
"5/26/2007","1512.248","174.24","338500.64","6570.4","2373","2754","8628","11449.1333391"
"5/27/2007","2153.808","219.894","338268.15","9369.4","4366","5534","10444","15552.8000352"
"5/28/2007","1637.468","151.1","338265.47","7087.6","4554","473","9586","12678.1333175"
"5/29/2007","1061.34","113.244","339399.86","4618.4","0","1907","4332","11450.0000099"
"5/30/2007","1609.866","147.058","338157.21","6953","2250","5948","7804","10829.1000237"
"5/31/2007","938.55","129.586","338539","4020.2","935","477","3552","10678.4999738"
"6/1/2007","1046.09","143.516","338862.12","4517.4","0","485","7664","9285.8333539"
"6/2/2007","1484.362","166.108","337635.4","6442.6","3971","1250","7633","11885.366648"
"6/3/2007","2108.026","182.458","338057.82","9148.2","4985","7529","8334","14285.7665906"
"6/4/2007","911.618","223.192","338037.22","4064","1585","836","4533","8239.6333236"
"6/5/2007","1458.892","255.692","337957.58","6429.8","4484","1027","6448","12355.8667044"
"6/6/2007","1693.942","231.132","337857.74","7352.8","3329","829","11663","12411.3666557"
"6/7/2007","985.002","172.334","337649.48","4294.6","985","699","3959","10773.6999959"
"6/8/2007","2148.046","229.732","340124.32","9285.4","2799","11440","11380","10181.7666909"
"6/9/2007","1137.136","232.936","346542.8","4891.6","990","825","7254","9883.2667145"
"6/10/2007","1340.812","239.092","346815.77","5768.2","4202","1924","5983","10237.86666903"
"6/11/2007","794.654","194.634","346833.72","3481.8","0","487","5328","7429.23334039"
"6/12/2007","918.766","216.416","345923.85","4116.4","1882","475","3898","9057.76668346"
"6/13/2007","927.272","208.26","346172.55","4057.2","957","857","5216","8424.53331998"
"6/14/2007","1259.084","231.696","345380.81","5448","3322","2147","7054","8461.73333736"
"6/15/2007","989.604","251.762","346268.71","4415.4","2269","4011","4547","5666.39999398"
"6/16/2007","2017.762","307.558","344882.44","8604","3289","4498","11108","14734.36665943"
"6/17/2007","1947.09","239.814","345915.62","8307.8","4124","5038","8734","14555.499995534"
"6/18/2007","678.474","180.81","346717.73","2993.4","0","529","4241","6537.90000232"
"6/19/2007","842.556","187.986","345985.65","3683.2","973","535","4357","8177.60000783"
"6/20/2007","1074.286","227.302","345824.88","4761.8","1761","2588","5106","8449.76665283"
"6/21/2007","806.946","222.546","346427.92","3601.2","932","2400","3711","6406.1000184"
"6/22/2007","566.294","208.526","346803.31","2602.6","0","951","3482","5005.2333687"
"6/23/2007","477.566","193.12","346059.31","2211.4","0","786","2402","4771.4333494"
"6/24/2007","714.656","179.362","347230.39","3179","0","791","3449","7670.9333072"
"6/25/2007","1072.202","197.27","346208.06","4680","1985","3621","4816","7448.03331867"
"6/26/2007","944.908","182.42","345736.09","4143","971","1334","5231","8212.46667161"
"6/27/2007","1480.826","206.998","345252.11","6378","2603","6451","7270","8356.43331921"
"6/28/2007","1295.438","217.446","344770.08","5601","0","4368","9541","7681.63335341"
"6/29/2007","1305.634","206.526","345860.84","5679.4","4363","668","6815","9914.56662629"
"6/30/2007","1335.314","188.354","345616.72","5719","3049","792","8376","10038.2333638"
"7/1/2007","1026.664","172.448","345696.7","4436.2","969","736","4690","10716.0666732"
"7/2/2007","967.032","176.924","346567.41","4216","1018","5281","3445","6373.19999784"
"7/3/2007","1059.912","180.338","345869.19","4652.2","467","3214","4695","9289.1999714"
"7/4/2007","1003.41","253.334","346549.87","4457.4","2329","2218","5632","6544.4999973"
"7/5/2007","1057.29","246.716","346240","4655.8","2922","770","3973","9956.5000007"
"7/6/2007","1069.524","219.35","346463.21","4706.8","2826","3563","4005","7431.40000147"
"7/7/2007","1358.206","214.044","345470.6","5810.2","997","3047","10177","8415.76667736"
"7/8/2007","1089.08","196.92","346088.01","4736.6","1825","2831","5277","8218.33331863"
"7/9/2007","1180.158","172.422","346489.41","5063.4","923","594","9386","8766.3000195"
"7/10/2007","908.324","176.244","345575.6","4012","67","2227","4631","8213.7333127"
"7/11/2007","722.35199999999","153.856","347083.25","3167.2","1015","647","5284","5093.20000396"
"7/12/2007","1069.582","209.098","346701.05","4656.4","1029","2550","6419","7828.3666737"
"7/13/2007","794.382","206.694","346830.92","3529.2","0","633","4427","8179.6999823"
"7/14/2007","1288.17","258.45","347460.31","5607.4","3775","1968","6604","9122.499988"
"7/15/2007","1041.71","258.098","346398.74","4596.6","973","934","5791","9663.8333071"
"7/16/2007","853.674","233.96","340570.42","3831.2","830","695","4176","8526.9000182"
"7/17/2007","719.632","176.088","338027.41","3277.8","848","694","3335","7116.86668538"
"7/18/2007","757.082","156.514","332767.05","3437","909","671","4628","6410.0333201"
"7/19/2007","677.886","187.012","337337.08","3087.2","1068","703","3130","6397.0999996"
"7/20/2007","1110.422","223.118","339219.22","4970.4","2111","2418","4765","9213.0333502"
"7/21/2007","1060.248","236.158","337329.54","4739.8","428","512","7756","8974.80002362"
"7/22/2007","1377.692","218.336","339785.02","6090.2","7091","2136","5580","8154.5333591"
"7/23/2007","991.018","143.77","337681.25","4429.4","1747","1288","3847","9634.9666516"
"7/24/2007","825.284","112.81","338922.78","3673.4","0","1607","5599","6548.733340845"
"7/25/2007","472.56","108.234","339323.11","2130.2","0","151","2333","5392.00001396"
"7/26/2007","924.5","115.092","338318.96","4087","975","3633","4346","6454.3333315"
"7/27/2007","1202.514","120.456","339197.3","5217.6","1837","49","7157","10998.90000756"
"7/28/2007","1621.862","178.73","339130.42","7116","907","10265","6559","9300.03337184"
"7/29/2007","321.116","118.576","339425.33","1488.2","0","0","1288","4063.9333203"
"7/30/2007","466.816","129.492","339163.53","2112.8","0","0","2528","5252.26667534"
"7/31/2007","812.332","145.786","338277.33","3603.6","3277","0","3575","6686.866673065"
"8/1/2007","1064.464","144.958","338375.4","4636.7999999999","1583","0","9812","6346.06664674"
"8/2/2007","1019.416","144.954","338193.49","4445.4","482","0","6869","9639.2666502"
"8/3/2007","1063.364","125.388","337659.27","4618.4","958","0","9139","7625.733312"
"8/4/2007","1144.99","139.226","338770.4","4971.4","552","398","7966","10167.16668552"
"8/5/2007","787.09799999999","151.254","338565.99","3509","169","0","6647","6302.2999941"
"8/6/2007","1089.72","154.434","337971.95","4776.6","1096","0","7985","9080.9999853"
"8/7/2007","1483.58","131.182","337757.59","6373.3999999999","437","2168","9042","13079.3333243"
"8/8/2007","1125.482","119.096","337697.82","4868.0000000001","1055","1111","9660","6932.03333654"
"8/9/2007","1071.68","109.474","337268.72","4712.1999999999","182","4515","6646","6518.3333113999"
"8/10/2007","1028.01","117.656","337663.89","4506.8","336","2651","8287","5859.499990116"
"8/11/2007","1091.65","115.77","338371.46","4731.4","1180","910","10339","5765.16663993"
"8/12/2007","1241.904","127.776","339357.39","5389.6","1123","1156","8582","9837.40000684"
"8/13/2007","1153.012","130.94","338711.86","4966.2","93","476","11101","7546.86669291"
"8/14/2007","941.19","132.01","341390","4110","951","685","6256","7794.50001344"
"8/15/2007","1191.86","159.764","345590.51","5100.5999999999","338","508","9787","9231.3333352"
"8/16/2007","958.49599999999","131.532","345222.23","4095.2","962","0","7476","7536.9333302"
"8/17/2007","1009.892","127.388","346311.43","4293.4","244","0","7769","8818.5332958999"
"8/18/2007","347.96","119.24","347442.67","1553.6","0","0","1830","3969.3333154"
"8/19/2007","1422.294","160.018","345533.28","6137.2","1025","8912","5989","7778.89997472"
"8/20/2007","1338.842","155.88","347473","5707.2","1032","6965","7383","6934.03335471"
"8/21/2007","642.556","157.308","346425.2","2824","0","38","3296","7375.2666688"
"8/22/2007","1209.808","154.288","346776.94","5142.6","3048","1836","7241","8038.46664468"
"8/23/2007","1112.312","157.954","346532.12","4795.6","2502","259","5342","10435.5333337"
"8/24/2007","1656.422","262.692","346313.34","7107.6","1891","3782","9944","11990.03333257"
"8/25/2007","1150.88","272.548","345398.15","5117.4","4149","2191","5678","7163.33333221"
"8/26/2007","1314.906","299.388","345529.32","5778.2","1541","3645","5658","11071.0999957"
"8/27/2007","1211.73","299.084","345489.96","5315.4","2305","1229","6344","10317.49998612"
"8/28/2007","997.004","181.114","344951.82","4314.4","1038","2468","5483","7627.7333457"
"8/29/2007","747.992","175.426","346672.79","3282.6","957","562","4932","6015.53331426"
"8/30/2007","1202.458","191.048","346425.37","5190.2","3822","2580","4221","9417.96668439"
"8/31/2007","1279.822","187.256","345579.41","5455.4","1200","666","8738","10726.36667914"
"9/1/2007","1701.486","289.846","344672.27","7294.2","2497","569","9733","15559.1000179"
"9/2/2007","1662.468","231.598","345665.28","7224.8","3613","1617","8806","13671.79997562"
"9/3/2007","1038.922","188.422","345053.3","4508.2","621","2515","5323","8856.3666842"
"9/4/2007","1584.944","179.626","345109.92","6848.6","2928","3501","9821","10165.73331388"
"9/5/2007","1236.572","148.864","344373.35","5324.6","0","4144","6705","9760.53332501"
"9/6/2007","901.474","172.026","344649.67","3963.2","0","3888","3461","7675.566669465"
"9/7/2007","1336.496","181.738","344205.65","5770.4","3632","551","9388","8703.93331198"
"9/8/2007","1469.752","186.33","345211.84","6324.4","3339","1801","9164","10191.8666834"
"9/9/2007","1679.502","209.152","344047.89","7277.8","2184","4438","9233","12136.7000067"
"9/10/2007","1117.376","177.498","344719.67","4843.8","935","595","5613","11479.9333257"
"9/11/2007","983.572","151.764","345703.67","4251","943","550","5792","9107.8666937"
"9/12/2007","1287.764","171.794","345621.68","5558.4","0","3217","7755","10490.73332587"
"9/13/2007","1146.382","165.958","344606.16","4988.8","1175","2523","3853","11555.36670621"
"9/14/2007","1135.47","183.126","344594.73","4960.4","901","676","5804","11543.499977"
"9/15/2007","1095.312","184.466","345602.84","4720.6","0","1449","6464","10342.20001716"
"9/16/2007","1652.224","192.352","344967.07","7151.4","3118","3064","9310","12045.066724224"
"9/17/2007","1461.186","202.314","344469.31","6355.4","6651","926","6279","10497.10001395"
"9/18/2007","1167.52","147.132","343095.37","5058.4","1888","2029","5425","10116.66668543"
"9/19/2007","1298.684","151.794","346039.5","5592","0","2743","7937","10964.733341825"
"9/20/2007","1255.532","132.908","345189.58","5358.2","1056","489","9996","9384.53335689"
"9/21/2007","1238.78","152.834","344709.31","5375","3130","2745","6316","8455.33336458"
"9/22/2007","1176.172","183.432","344855.57","5061.8","944","1311","7688","9659.866697875"
"9/23/2007","1417.97","242.974","344880.62","6163.2","2831","1929","7382","11490.83334734"
"9/24/2007","1354.53","197.624","343584.87","5873.4","929","3935","7955","9756.50005276"
"9/25/2007","1764.342","130.078","342863.44","7497.2","916","2253","9820","16416.6999764"
"9/26/2007","1832.47","169.322","344763.72","7775.4","1133","9415","5695","14298.16664543"
"9/27/2007","1392.6","150.71","344976.56","5872","1066","643","7324","14176.9999997"
"9/28/2007","1680.498","222.718","344825.9","7191.6","996","3722","9952","13338.2999922"
"9/29/2007","2296.522","182.122","344361.76","9782.2","4085","7457","8190","18543.366654975"
"9/30/2007","1516.29","163.588","345693.29","6411.6","1405","582","10225","13059.5000009"
"10/1/2007","1720.922","146.734","344505.48","7306.2","1507","6622","5960","14593.03331043"
"10/2/2007","2198.864","161.828","343431.06","9322.6","508","8022","12815","15302.7332819"
"10/3/2007","1280.454","157.738","344535.94","5472","979","5024","3692","11645.89998984"
"10/4/2007","1518.458","138.448","344455.31","6414.6","2400","444","9710","12753.6334011"
"10/5/2007","1394.092","150.636","343911.04","5889.2","0","351","9425","13458.8666252"
"10/6/2007","1756.24","186.192","343268.23","7441.4","4840","347","9666","14417.6666937"
"10/7/2007","2106.114","153.178","343909.84","8939.4","2498","8255","10886","13462.8999748"
"10/8/2007","1095.242","121.896","344299.03","4652.8","0","420","5082","12752.0333443"
"10/9/2007","1687.858","159.802","343985.97","7174.6","2034","2147","9290","14659.9666902"
"10/10/2007","1166.972","132.752","344766.47","5023.6","1863","2117","3345","12124.5333581"
"10/11/2007","1732.446","153.108","343359.58","7357","2630","414","7806","18024.1000152"
"10/12/2007","1914.504","137.984","343413.09","8160.6","1020","5028","11659","14201.3999315"
"10/13/2007","1926.728","125.204","343822.19","8209","969","3799","8463","18881.1333697"
"10/14/2007","2061.252","150.05","344305.49","8753.4","2930","7494","7126","16804.2000102"
"10/15/2007","1266.33","118.182","344581.5","5359.6","1061","339","7654","12051.5000029"
"10/16/2007","1964.442","185.414","343962.17","8385.4","0","7871","9876","14993.699996114"
"10/17/2007","1576.93","136.4","344436.67","6677.2","1065","453","8968","15796.1666842"
"10/18/2007","1518.53","122.5","345312.41","6384.6","1162","317","9864","13965.8332999"
"10/19/2007","2085.648","121.478","345099.13","8788.6","1299","3124","11648","18689.8000064"
"10/20/2007","1660.246","139.544","348227.74","6933.2","2363","296","13225","11786.7667234"
"10/21/2007","1941.94","154.028","347746.67","8210.4","3712","4357","7313","16983.66665"
"10/22/2007","1652.896","116.41","346385.38","6920.4","0","299","13027","14222.266701"
"10/23/2007","1956.698","127.928","347371.59","8222.8","1067","5186","10680","15678.633324"
"10/24/2007","1865.636","146.782","346763.91","7881.4","4459","364","9115","17155.9333173"
"10/25/2007","1853.918","132.2","346280.59","7795.6","1478","2433","7385","19602.6333153"
"10/26/2007","1437.568","109.676","346580.43","6286.8","0","348","5766","17845.4666825"
"10/27/2007","1785.688","109.186","345889.74","7645.2","1374","4856","8949","14582.4666866"
"10/28/2007","512.158","92.298","346847.12","2138.8","0","283","1765","6487.9666521"
"10/29/2007","545.428","86.997999999999","347318.36","2267.2","0","269","2749","6072.4666641"
"10/30/2007","811.008","89.84","346501.33","3386","0","1935","4256","7325.7999917"
"10/31/2007","1283.21","107.2","346088.13","5389","0","4700","8915","7771.8333515"
"11/1/2007","496.216","85.046","346951.3","2067.8","0","293","1991","5986.2666543"
"11/2/2007","1443.602","93.362","344662.54","6051.8","1346","2115","12245","8354.033301"
"11/3/2007","492.55","88.124","345874.33","2065.4","0","282","1936","5991.1666505"
"11/4/2007","1485.686","138.802","345895.95","6313","0","4387","7068","13306.4333324"
"11/5/2007","1500.592","131.35","345109.12","6330.6","1265","397","6583","16764.86666626"
