Education,JoiningYear,City,Projects_Completed,Age,Gender,EverBenched,Experience,LeaveOrNot,salary
Bachelors,2013,Bangalore,3,28,Male,No,1,1,5828
Masters,2016,New Delhi,3,27,Male,No,5,0,5200
Masters,2017,Bangalore,3,26,Male,No,4,0,4800
Masters,2017,New Delhi,2,24,Male,No,2,0,7000
Masters,2018,New Delhi,3,26,Male,No,4,1,6000
Masters,2017,New Delhi,1,25,Female,No,3,1,5400
Bachelors,2012,Pune,3,28,Male,No,2,0,4640
Bachelors,2017,New Delhi,3,28,Male,No,2,0,5000
Bachelors,2013,Bangalore,3,26,Male,No,4,0,6360
Masters,2013,New Delhi,3,27,Male,No,5,1,5800
Bachelors,2017,Pune,2,24,Female,No,2,1,6660
Bachelors,2017,New Delhi,3,28,Female,No,2,0,10500
Bachelors,2016,Bangalore,3,26,Male,No,4,0,4800
Bachelors,2013,Bangalore,3,27,Female,No,5,0,4700
Masters,2015,Pune,2,28,Female,No,3,0,5000
Bachelors,2014,Bangalore,3,25,Male,No,3,0,10500
Bachelors,2016,Pune,3,28,Male,No,1,0,5500
Masters,2013,Bangalore,1,25,Male,No,3,1,6360
Bachelors,2015,Pune,3,26,Male,No,4,0,6600
Bachelors,2018,New Delhi,3,27,Female,No,5,1,5136
Bachelors,2016,Bangalore,3,24,Male,No,2,1,4400
Bachelors,2012,Pune,2,24,Female,No,2,1,5400
Bachelors,2014,Bangalore,3,26,Male,No,4,0,3300
Bachelors,2016,Pune,2,24,Female,No,2,1,3650
Masters,2012,New Delhi,3,26,Female,No,4,0,6100
Bachelors,2013,Bangalore,3,28,Female,No,3,0,6900
Bachelors,2012,Bangalore,3,24,Male,No,2,1,2817
Bachelors,2015,Bangalore,3,25,Male,No,3,1,7980
Bachelors,2016,Bangalore,3,28,Male,No,3,0,3150
Bachelors,2014,Bangalore,3,28,Female,No,3,0,6210
Bachelors,2013,Bangalore,3,26,Female,No,4,0,6100
Masters,2017,New Delhi,3,24,Female,No,2,1,6600
Bachelors,2016,Bangalore,3,25,Male,No,3,1,6825
Bachelors,2015,Bangalore,3,25,Male,No,3,0,6710
Bachelors,2014,Bangalore,3,27,Male,No,5,0,6450
Bachelors,2012,Bangalore,3,24,Male,No,2,0,7800
Bachelors,2014,Bangalore,3,25,Male,No,3,0,4600
Bachelors,2015,Bangalore,3,28,Male,No,3,0,4260
Masters,2015,New Delhi,3,26,Male,No,4,1,6540
Bachelors,2014,New Delhi,3,28,Female,No,1,0,5500
Bachelors,2015,Pune,3,25,Male,No,3,0,10269
Masters,2015,Pune,2,28,Female,No,2,0,8400
Bachelors,2014,Bangalore,3,27,Female,No,5,0,5300
Bachelors,2013,Bangalore,3,26,Male,No,4,0,3800
Bachelors,2016,Bangalore,3,26,Male,No,4,0,9800
Bachelors,2012,Bangalore,3,25,Male,No,3,0,8520
Bachelors,2015,Bangalore,3,25,Male,No,3,0,6050
Bachelors,2014,New Delhi,3,24,Female,No,2,0,7085
Bachelors,2012,Bangalore,3,27,Male,No,5,1,3180
Masters,2017,New Delhi,3,27,Male,No,5,1,4500
Bachelors,2015,Pune,3,27,Male,No,5,0,7200
Bachelors,2018,Bangalore,3,24,Male,No,2,1,3410
Masters,2017,New Delhi,3,27,Male,No,5,1,7980
Masters,2017,New Delhi,2,28,Female,No,1,1,3000
Masters,2017,Pune,2,24,Male,No,2,1,3000
Masters,2016,New Delhi,3,25,Female,No,3,1,11410
PHD,2015,New Delhi,3,28,Female,No,1,0,6100
Bachelors,2017,New Delhi,2,26,Male,No,4,0,5720
Bachelors,2013,Bangalore,2,27,Male,No,5,0,3540
Bachelors,2015,Bangalore,3,26,Male,No,4,0,7600
Bachelors,2015,Bangalore,3,26,Male,No,4,0,10700
Bachelors,2013,Bangalore,3,28,Male,No,1,0,6600
Bachelors,2015,Bangalore,3,27,Female,No,5,0,4800
Bachelors,2013,New Delhi,3,25,Female,No,3,0,8150
Bachelors,2013,Pune,3,28,Male,No,1,0,4410
Bachelors,2017,Pune,3,24,Male,No,2,0,7686
Bachelors,2013,New Delhi,3,27,Female,No,5,0,2800
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,5948
Bachelors,2015,Pune,3,28,Male,No,3,0,4200
Bachelors,2014,Pune,2,25,Female,No,3,1,4520
Bachelors,2014,Bangalore,3,25,Male,No,3,0,4095
Bachelors,2017,Bangalore,3,27,Male,No,5,0,4120
Bachelors,2014,Pune,2,26,Female,No,4,1,5400
PHD,2013,New Delhi,3,24,Male,No,2,0,4770
Bachelors,2015,Pune,2,26,Female,No,4,1,6300
Bachelors,2017,Bangalore,3,25,Male,No,3,0,5800
Masters,2013,Pune,2,27,Male,No,5,1,3000
Masters,2017,Bangalore,3,28,Male,No,2,0,2970
Bachelors,2012,Bangalore,3,25,Male,No,3,1,6720
Bachelors,2017,Bangalore,3,27,Male,No,5,0,4646
Masters,2017,Pune,2,27,Female,No,5,0,12900
Masters,2013,Bangalore,2,28,Female,No,2,1,3420
Masters,2017,Pune,3,28,Male,No,1,1,4995
Bachelors,2018,Bangalore,3,27,Female,No,5,1,4350
Bachelors,2014,New Delhi,3,25,Female,No,3,0,4160
Masters,2017,New Delhi,3,27,Male,No,5,1,6040
Masters,2013,New Delhi,3,26,Male,No,4,1,6862
Bachelors,2013,Pune,2,25,Female,No,3,1,4815
Masters,2012,New Delhi,3,26,Male,No,4,1,7000
Bachelors,2016,Bangalore,3,25,Male,No,3,1,8100
Bachelors,2013,Pune,2,26,Male,No,4,0,3420
Bachelors,2018,Bangalore,3,28,Female,No,2,1,9166
Bachelors,2013,Bangalore,3,27,Male,No,5,0,6321
Bachelors,2015,Pune,1,24,Female,Yes,2,1,10240
Bachelors,2013,Pune,3,28,Male,No,2,0,6440
Bachelors,2015,Pune,2,27,Female,Yes,5,1,5170
Bachelors,2018,Bangalore,3,25,Male,No,3,1,6000
Bachelors,2014,Pune,2,27,Female,No,5,1,3630
Bachelors,2013,Pune,3,24,Male,No,2,0,9667
Bachelors,2014,Pune,3,24,Male,No,2,0,5400
PHD,2015,New Delhi,2,25,Female,No,3,0,4320
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,3745
Bachelors,2018,Bangalore,3,24,Male,No,2,1,4160
Masters,2015,Pune,2,25,Female,No,3,0,3880
Bachelors,2015,Bangalore,3,24,Male,No,2,0,5680
Bachelors,2014,New Delhi,3,24,Female,No,2,0,2870
Masters,2017,Bangalore,2,26,Female,No,4,1,5010
Bachelors,2012,New Delhi,3,28,Male,No,1,0,4510
Masters,2017,Pune,2,26,Female,No,4,0,4000
Bachelors,2016,Pune,3,25,Male,No,3,0,3840
Bachelors,2017,New Delhi,3,24,Male,No,2,1,3760
Bachelors,2013,Pune,2,28,Female,No,3,1,3640
Bachelors,2014,Bangalore,3,25,Female,No,3,1,2550
Bachelors,2014,Bangalore,3,25,Male,No,3,0,5320
Bachelors,2014,Pune,2,24,Female,No,2,1,5360
Bachelors,2015,Bangalore,3,28,Male,No,2,1,3520
Bachelors,2015,Bangalore,3,27,Male,No,5,0,8400
Bachelors,2016,Pune,3,26,Male,No,4,0,4100
Masters,2015,New Delhi,3,26,Female,No,4,1,4990
Bachelors,2016,Bangalore,1,28,Female,No,2,0,3510
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,3450
Bachelors,2014,Bangalore,3,27,Male,No,5,0,9860
Bachelors,2017,Bangalore,3,28,Male,No,2,0,3520
Masters,2018,New Delhi,3,24,Female,Yes,2,1,4510
Bachelors,2017,Pune,2,25,Male,No,3,0,5885
Bachelors,2018,Pune,2,24,Female,No,2,1,4000
Masters,2017,New Delhi,2,28,Female,No,1,0,8250
Bachelors,2013,New Delhi,1,27,Female,No,5,0,4040
Bachelors,2017,New Delhi,2,27,Female,No,5,0,6360
Bachelors,2017,Bangalore,3,28,Male,No,1,0,3162
Bachelors,2016,Pune,2,27,Female,No,5,1,3510
Masters,2018,Bangalore,3,24,Male,No,2,1,3750
Bachelors,2012,Pune,1,26,Male,No,4,0,3968
Bachelors,2016,Bangalore,3,26,Male,No,4,0,4900
Masters,2016,New Delhi,1,27,Male,No,5,0,2880
Bachelors,2015,New Delhi,3,26,Female,No,4,0,4880
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,4920
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,4950
Bachelors,2018,Bangalore,3,26,Female,No,4,1,3900
Masters,2017,Pune,2,26,Female,No,4,1,4500
Masters,2017,New Delhi,2,28,Female,No,2,0,1905
Bachelors,2013,Pune,3,28,Male,No,1,0,4075
Masters,2013,New Delhi,3,25,Male,No,3,0,3500
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,6450
Bachelors,2013,Pune,3,27,Female,No,5,1,4032
Bachelors,2012,Bangalore,3,25,Male,No,3,0,4400
Bachelors,2014,Bangalore,3,28,Male,No,1,0,10360
Bachelors,2017,New Delhi,3,28,Female,No,3,0,3400
Masters,2017,New Delhi,2,28,Male,Yes,2,0,6360
Bachelors,2014,Bangalore,3,25,Male,No,3,0,6360
Masters,2017,New Delhi,3,26,Male,No,4,0,4500
Bachelors,2015,Pune,1,25,Female,No,3,1,2175
Masters,2013,New Delhi,3,27,Male,No,5,0,4360
PHD,2014,Bangalore,3,24,Female,No,2,0,7770
Masters,2017,New Delhi,2,27,Female,No,5,0,6650
Bachelors,2018,Bangalore,3,26,Male,No,4,1,2787
Bachelors,2012,Bangalore,3,26,Male,No,4,0,5500
Masters,2015,Pune,3,27,Female,No,5,1,5040
Bachelors,2018,Bangalore,3,26,Male,No,4,1,5850
Bachelors,2016,Bangalore,3,24,Male,No,2,0,2610
Masters,2017,New Delhi,2,25,Female,No,3,0,2953
Bachelors,2017,New Delhi,2,28,Male,No,1,0,2747
Bachelors,2012,New Delhi,3,27,Female,No,5,0,4410
Masters,2013,New Delhi,3,26,Male,No,4,1,4000
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,2325
Bachelors,2014,Pune,3,28,Male,No,2,0,4600
Bachelors,2016,Bangalore,3,24,Female,No,2,1,3640
Bachelors,2012,Bangalore,3,28,Male,No,3,0,5800
Bachelors,2012,Bangalore,3,27,Male,No,5,0,7000
Bachelors,2013,Bangalore,3,26,Male,No,4,0,4079
Bachelors,2014,New Delhi,3,28,Female,No,1,0,3520
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,2145
Bachelors,2015,Pune,3,26,Female,Yes,4,1,4500
Masters,2014,New Delhi,3,26,Male,No,4,1,8250
PHD,2015,New Delhi,3,25,Female,No,3,0,3450
Masters,2015,New Delhi,3,25,Male,No,3,0,4840
Bachelors,2012,Pune,3,27,Male,No,5,0,4080
Masters,2017,New Delhi,2,24,Female,No,2,0,4046
Bachelors,2016,Bangalore,3,24,Male,No,2,0,4632
Masters,2015,Pune,3,28,Female,No,2,0,5985
Bachelors,2017,Bangalore,3,24,Female,No,2,0,6060
Bachelors,2017,Pune,3,25,Male,No,3,0,3600
Bachelors,2017,Bangalore,1,25,Male,No,3,0,3680
Masters,2015,Pune,3,28,Female,No,2,0,4040
Bachelors,2017,Pune,3,26,Male,No,4,0,5600
Bachelors,2014,Pune,3,24,Male,No,2,0,5900
Bachelors,2014,Pune,3,25,Female,No,3,1,4992
Bachelors,2018,Pune,3,26,Female,No,4,1,4340
Bachelors,2016,Bangalore,3,27,Male,No,5,0,3000
Bachelors,2017,Bangalore,3,28,Female,No,2,0,4320
Bachelors,2012,Pune,3,28,Male,No,2,0,3630
Masters,2012,New Delhi,3,24,Female,No,2,1,3460
Bachelors,2013,Bangalore,3,26,Male,No,4,0,5400
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,4500
Bachelors,2017,Bangalore,3,28,Male,No,1,0,3460
Bachelors,2018,Pune,3,25,Male,Yes,3,1,4100
Masters,2017,New Delhi,3,24,Male,No,2,0,6480
Bachelors,2013,Bangalore,3,28,Male,No,2,1,4500
Bachelors,2017,Bangalore,3,24,Male,No,2,0,3960
Masters,2017,New Delhi,2,25,Female,No,3,1,4050
Bachelors,2013,Pune,2,28,Female,No,1,1,7260
Bachelors,2015,Bangalore,3,24,Female,No,2,0,5500
Bachelors,2016,Pune,3,26,Male,No,4,0,3000
Bachelors,2015,New Delhi,2,27,Female,No,5,1,3290
Bachelors,2018,Bangalore,3,24,Female,No,2,1,3816
Bachelors,2013,Bangalore,3,27,Female,No,5,0,8080
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,2145
Bachelors,2013,Bangalore,3,24,Female,No,2,0,3780
Bachelors,2013,Bangalore,3,27,Male,No,5,0,3180
Bachelors,2017,Bangalore,3,26,Female,No,4,0,5300
Bachelors,2015,Bangalore,3,24,Female,No,2,0,3180
Bachelors,2012,Pune,3,24,Female,No,2,1,7152
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,4080
Bachelors,2012,Bangalore,3,28,Male,No,3,0,3850
Bachelors,2017,New Delhi,2,27,Male,No,5,0,2015
Bachelors,2012,Pune,2,27,Female,No,5,1,2176
Masters,2017,Pune,2,27,Male,No,5,0,3350
Bachelors,2017,Pune,2,24,Male,No,2,1,3150
Bachelors,2016,Pune,1,26,Female,No,4,1,4820
Bachelors,2015,Pune,3,26,Female,No,4,1,3420
Bachelors,2016,Bangalore,3,25,Male,No,3,1,3600
Bachelors,2012,Pune,3,26,Male,No,4,0,5830
Bachelors,2017,Bangalore,3,28,Male,No,2,0,2856
Bachelors,2012,Bangalore,3,25,Male,No,3,0,8400
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,8250
Masters,2017,Pune,2,26,Male,No,4,0,2520
Masters,2017,Pune,3,28,Male,No,1,1,6930
Masters,2015,Pune,2,25,Female,No,3,1,3480
Bachelors,2017,New Delhi,2,26,Female,No,4,0,3600
Bachelors,2017,New Delhi,2,26,Male,No,4,0,4040
Bachelors,2016,Bangalore,3,27,Male,No,5,0,6020
Bachelors,2017,New Delhi,3,27,Female,No,5,0,4050
Bachelors,2015,New Delhi,3,24,Female,No,2,0,3584
Masters,2017,Bangalore,1,26,Female,No,4,1,3120
Bachelors,2017,New Delhi,1,28,Female,No,2,0,5450
Bachelors,2015,Bangalore,3,24,Male,No,2,0,3630
Masters,2015,Pune,2,25,Female,No,3,1,3630
Bachelors,2014,Bangalore,3,25,Female,No,3,0,5640
Bachelors,2014,Bangalore,3,28,Male,No,2,0,3600
Bachelors,2017,Bangalore,3,28,Male,No,3,0,4280
Masters,2015,New Delhi,1,27,Male,No,5,0,3570
Bachelors,2014,Pune,1,26,Female,No,4,1,3180
Masters,2018,Bangalore,3,25,Male,Yes,3,1,3000
Bachelors,2016,Bangalore,3,28,Female,No,3,0,3520
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,5960
Bachelors,2015,Pune,2,24,Female,No,2,1,4130
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,2850
Bachelors,2014,Bangalore,3,26,Male,No,4,0,2275
Bachelors,2014,Bangalore,3,24,Male,No,2,0,3520
Bachelors,2016,Bangalore,3,28,Male,No,2,0,4500
Bachelors,2015,Pune,2,25,Female,No,3,1,4000
Bachelors,2013,Pune,3,27,Male,No,5,0,3150
Bachelors,2015,Bangalore,3,28,Male,No,3,0,4500
Bachelors,2014,Bangalore,3,26,Male,No,4,0,4500
Bachelors,2012,Bangalore,3,24,Male,No,2,0,3640
Bachelors,2013,Bangalore,3,27,Male,No,5,0,3850
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,4240
Bachelors,2015,Pune,3,28,Male,No,2,0,3650
Bachelors,2014,New Delhi,2,24,Female,No,2,1,4600
Bachelors,2013,Bangalore,3,24,Male,No,2,0,2135
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,3036
Bachelors,2015,Pune,3,27,Male,No,5,0,3990
Bachelors,2014,Pune,2,26,Male,No,4,0,7424
Bachelors,2016,Bangalore,3,25,Male,No,3,1,3480
PHD,2013,Bangalore,3,25,Male,No,3,0,3600
Bachelors,2014,Bangalore,3,25,Male,No,3,0,3640
Bachelors,2017,New Delhi,2,28,Female,No,1,0,5900
Bachelors,2015,Pune,1,26,Female,No,4,1,3120
Masters,2017,New Delhi,3,26,Male,Yes,4,1,7350
Bachelors,2014,Bangalore,3,27,Male,No,5,0,3512
Bachelors,2012,New Delhi,3,24,Female,No,2,0,9500
Bachelors,2017,New Delhi,2,24,Male,No,2,0,5880
Bachelors,2015,Bangalore,3,26,Male,No,4,0,12944
Bachelors,2012,Bangalore,3,26,Female,No,4,0,4900
Bachelors,2015,Bangalore,3,24,Male,No,2,0,3060
Masters,2014,Pune,3,25,Male,No,3,0,5320
Bachelors,2015,Bangalore,3,28,Male,No,2,0,2145
Bachelors,2016,Pune,3,24,Male,No,2,0,4000
Bachelors,2016,Bangalore,3,26,Female,No,4,0,3185
Bachelors,2015,Pune,2,25,Female,Yes,3,1,3850
Masters,2013,New Delhi,2,25,Male,No,3,1,2145
Bachelors,2017,Pune,3,25,Male,No,3,0,2610
Bachelors,2015,Pune,2,26,Female,Yes,4,1,1950
Masters,2015,Bangalore,2,26,Female,No,4,1,4040
Bachelors,2012,Pune,3,27,Female,No,5,0,4785
Masters,2017,New Delhi,3,28,Male,Yes,2,0,3450
Bachelors,2016,Pune,3,25,Male,No,3,0,3640
Bachelors,2016,Bangalore,3,24,Male,No,2,0,3500
Bachelors,2016,Pune,3,28,Male,No,1,0,4960
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,4120
Bachelors,2015,New Delhi,3,26,Male,No,4,0,4750
Bachelors,2016,Bangalore,3,27,Male,No,5,0,3720
Bachelors,2017,Pune,2,27,Male,No,5,0,3750
Bachelors,2012,Bangalore,3,27,Male,No,5,0,3100
PHD,2018,New Delhi,3,25,Male,No,3,1,3185
Bachelors,2014,Pune,3,27,Male,No,5,0,2700
Bachelors,2013,Bangalore,3,26,Female,No,4,0,2145
Masters,2017,Pune,2,24,Female,No,2,1,4040
PHD,2016,New Delhi,2,28,Male,No,3,1,4775
Masters,2014,New Delhi,3,26,Male,No,4,1,2500
Masters,2017,New Delhi,2,27,Male,Yes,5,1,3180
PHD,2013,New Delhi,3,27,Male,No,5,0,6060
Masters,2014,New Delhi,3,28,Female,No,1,0,3480
Bachelors,2017,Pune,3,27,Male,No,5,0,3792
Bachelors,2015,Pune,3,26,Female,Yes,4,1,4040
Masters,2014,Bangalore,3,26,Male,No,4,1,2145
Masters,2012,Pune,3,27,Male,No,5,0,5880
Bachelors,2017,Bangalore,3,26,Male,No,4,0,4500
Masters,2017,Pune,2,27,Male,No,5,1,3930
Bachelors,2017,Bangalore,3,27,Male,No,5,0,3640
Bachelors,2016,Bangalore,3,25,Male,No,3,1,4370
Bachelors,2016,Pune,3,27,Male,Yes,5,0,2684
Bachelors,2014,Pune,3,25,Male,No,3,0,4320
Bachelors,2017,Bangalore,3,28,Male,No,1,0,3120
Masters,2012,Pune,3,24,Male,No,2,0,3450
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,3986
Bachelors,2013,Pune,2,25,Male,No,3,1,3500
Bachelors,2012,Pune,3,27,Male,No,5,0,4095
Bachelors,2017,Bangalore,3,26,Male,No,4,0,1650
Bachelors,2013,Pune,3,26,Male,No,4,0,3450
Bachelors,2016,Bangalore,3,24,Male,No,2,0,6750
Bachelors,2014,Bangalore,3,25,Female,No,3,0,9000
Bachelors,2015,New Delhi,3,25,Male,No,3,0,3069
PHD,2012,Pune,3,24,Male,No,2,0,4500
Bachelors,2013,Bangalore,3,27,Male,No,5,0,5495
Bachelors,2015,Bangalore,3,25,Male,No,3,0,2398
Bachelors,2016,Bangalore,3,26,Male,No,4,0,3000
Masters,2015,New Delhi,3,24,Female,No,2,0,3850
Bachelors,2012,Bangalore,3,26,Male,No,4,0,3500
Bachelors,2013,Pune,3,24,Male,No,2,0,8100
Masters,2017,New Delhi,3,24,Male,No,2,1,4960
